% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE month {Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec}
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
TS,main,Jul,113.0,12.0,386,0.0,1000.0,True
ET,main,Jun,254.100006104,17.1000003815,262,45.0,0.0,True
TS,main,Jul,263.0,11.0,516,25.0,0.0,True
ET,main,Dec,54.0,-10.5,527,25.0,1004.0,True
ET,main,Aug,138.0,15.0,1387,0.0,1004.0,True
TS,main,Sep,307.399993896,13.1999998093,836,40.0,0.0,True
ET,main,Aug,132.300003052,12.0999994278,719,0.0,1004.0,True
TS,main,Sep,275.399993896,25.1999988556,283,60.0,0.0,True
ET,main,Sep,137.0,8.0,987,0.0,1008.0,True
TS,main,Jul,132.599990845,13.8999996185,792,0.0,1008.0,True
ET,main,Oct,282.100006104,14.0,420,30.0,0.0,True
TS,main,Aug,266.5,22.5,365,30.0,1008.0,True
ET,main,Sep,340.600006104,12.7999992371,282,30.0,0.0,True
TS,main,Aug,285.5,25.0,327,30.0,0.0,True
TS,main,Aug,267.399993896,20.6999988556,219,20.0,0.0,True
TS,main,Jul,262.0,9.19999980927,732,25.0,0.0,True
ET,main,Aug,335.0,13.8999996185,813,40.0,0.0,True
ET,main,Oct,299.200012207,26.2999992371,1011,30.0,1009.0,True
TS,main,Jun,276.0,20.5,152,30.0,0.0,True
ET,main,Jul,286.700012207,32.2999992371,399,30.0,1010.0,True
TS,main,Aug,271.299987793,25.5999984741,381,40.0,0.0,True
ET,main,Jul,307.899993896,11.5,668,30.0,0.0,True
TS,main,Sep,112.0,11.8000001907,286,0.0,1006.0,True
TS,main,Feb,115.5,-10.5,187,27.0,1000.0,True
TS,main,Nov,270.200012207,10.3000001907,342,25.0,1005.0,True
ET,main,May,264.5,11.0,528,25.0,0.0,True
ET,main,Aug,135.399993896,23.0,1006,0.0,990.0,True
TS,main,Sep,282.5,28.5,292,20.0,0.0,True
ET,main,Oct,152.899993896,6.19999980927,1021,0.0,1004.0,True
ET,main,Aug,300.0,18.7999992371,591,30.0,0.0,True
